condition,macro_f1_mean,macro_f1_sample_std,macro_roc_auc_ovr_mean,macro_roc_auc_ovr_sample_std,runs
Baseline,0.9720821754733547,0.0037767135582084687,0.9990902324855813,3.938032775684299e-05,3
WGAN-GP augmented,0.9728797956784153,0.005191381493894106,0.9988986263133959,6.27611193377397e-05,3
Weighted loss,0.9612653178628676,0.005573426900388515,0.9990204916125518,0.00013495529727912243,3
